Gene ID	Gene name	Cohort	Count
ENSG00000117713	ARID1A	TCGA-LUAD	68
ENSG00000046889	PREX2	TCGA-BRCA	68
ENSG00000012048	BRCA1	TCGA-BRCA	68
ENSG00000141510	TP53	TCGA-BRCA	67
ENSG00000129514	FOXA1	TCGA-BRCA	67
ENSG00000128731	HERC2	TCGA-THCA	67
ENSG00000125952	MAX	TCGA-BRCA	67
ENSG00000118046	STK11	TCGA-LUAD	67
ENSG00000198455	ZXDB	TCGA-BRCA	66
ENSG00000196712	NF1	TCGA-LUAD	66
ENSG00000163629	PTPN13	TCGA-BRCA	66
ENSG00000147050	KDM6A	TCGA-BRCA	66
ENSG00000133895	MEN1	TCGA-BRCA	66
ENSG00000131941	RHPN2	TCGA-BRCA	66
ENSG00000079999	KEAP1	TCGA-LUAD	66
ENSG00000065526	SPEN	TCGA-BRCA	66
ENSG00000189079	ARID2	TCGA-LUAD	65
ENSG00000183454	GRIN2A	TCGA-BRCA	65
ENSG00000180611	MB21D2	TCGA-LUAD	65
ENSG00000174197	MGA	TCGA-LUAD	65
ENSG00000171862	PTEN	TCGA-THCA	65
ENSG00000171094	ALK	TCGA-BRCA	65
ENSG00000142208	AKT1	TCGA-THCA	65
ENSG00000141027	NCOR1	TCGA-BRCA	65
ENSG00000139618	BRCA2	TCGA-BRCA	65
ENSG00000123364	HOXC13	TCGA-BRCA	65
ENSG00000102974	CTCF	TCGA-BRCA	65
ENSG00000091831	ESR1	TCGA-BRCA	65
ENSG00000055609	KMT2C	TCGA-KIRP	65
ENSG00000141510	TP53	TCGA-LUAD	64
ENSG00000139687	RB1	TCGA-LUAD	64
ENSG00000136826	KLF4	TCGA-BRCA	64
ENSG00000005339	CREBBP	TCGA-BRCA	64
ENSG00000243073	PRAMEF4	TCGA-THYM	63
ENSG00000213413	PVRIG	TCGA-THYM	63
ENSG00000198554	WDHD1	TCGA-THYM	63
ENSG00000183337	BCOR	TCGA-THYM	63
ENSG00000182901	RGS7	TCGA-LUAD	63
ENSG00000158156	XKR8	TCGA-THYM	63
ENSG00000140396	NCOA2	TCGA-LUAD	63
ENSG00000134086	VHL	TCGA-THYM	63
ENSG00000128928	IVD	TCGA-THYM	63
ENSG00000127616	SMARCA4	TCGA-COAD	63
ENSG00000119636	CCDC176	TCGA-THYM	63
ENSG00000010671	BTK	TCGA-LUAD	63
ENSG00000186575	NF2	TCGA-KIRP	62
ENSG00000184634	MED12	TCGA-LGG	62
ENSG00000182872	RBM10	TCGA-LUAD	62
ENSG00000171681	ATF7IP	TCGA-LUAD	62
ENSG00000165731	RET	TCGA-LUAD	62
ENSG00000163939	PBRM1	TCGA-KIRP	62
ENSG00000153707	PTPRD	TCGA-BRCA	62
ENSG00000149311	ATM	TCGA-LUAD	62
ENSG00000141646	SMAD4	TCGA-BRCA	62
ENSG00000138336	TET1	TCGA-KIRP	62
ENSG00000100285	NEFH	TCGA-THCA	62
ENSG00000095015	MAP3K1	TCGA-BRCA	62
ENSG00000055609	KMT2C	TCGA-BRCA	62
ENSG00000198400	NTRK1	TCGA-BRCA	61
ENSG00000196914	ARHGEF12	TCGA-BRCA	61
ENSG00000178568	ERBB4	TCGA-BRCA	61
ENSG00000174775	HRAS	TCGA-THCA	61
ENSG00000165731	RET	TCGA-THCA	61
ENSG00000153165	RGPD3	TCGA-THCA	61
ENSG00000149311	ATM	TCGA-THCA	61
ENSG00000143322	ABL2	TCGA-BRCA	61
ENSG00000133392	MYH11	TCGA-BRCA	61
ENSG00000121879	PIK3CA	TCGA-LUAD	61
ENSG00000096968	JAK2	TCGA-BRCA	61
ENSG00000066117	SMARCD1	TCGA-BRCA	61
ENSG00000040731	CDH10	TCGA-LUAD	61
ENSG00000253873	PCDHGA11	TCGA-THYM	60
ENSG00000197993	KEL	TCGA-LGG	60
ENSG00000189079	ARID2	TCGA-THCA	60
ENSG00000183208	GDPGP1	TCGA-THYM	60
ENSG00000156253	RWDD2B	TCGA-THYM	60
ENSG00000149311	ATM	TCGA-BRCA	60
ENSG00000142208	AKT1	TCGA-BRCA	60
ENSG00000137497	NUMA1	TCGA-BRCA	60
ENSG00000136247	ZDHHC4	TCGA-THYM	60
ENSG00000134371	CDC73	TCGA-LUAD	60
ENSG00000124222	STX16	TCGA-THYM	60
ENSG00000122012	SV2C	TCGA-THYM	60
ENSG00000121879	PIK3CA	TCGA-KIRP	60
ENSG00000115524	SF3B1	TCGA-THYM	60
ENSG00000085185	BCORL1	TCGA-COAD	60
ENSG00000083799	CYLD	TCGA-THYM	60
ENSG00000257923	CUX1	TCGA-LUAD	59
ENSG00000257923	CUX1	TCGA-BRCA	59
ENSG00000157764	BRAF	TCGA-BRCA	59
ENSG00000147889	CDKN2A	TCGA-LUAD	59
ENSG00000145675	PIK3R1	TCGA-LGG	59
ENSG00000121067	SPOP	TCGA-UCEC	59
ENSG00000109670	FBXW7	TCGA-BRCA	59
ENSG00000087460	GNAS	TCGA-BRCA	59
ENSG00000049618	ARID1B	TCGA-BRCA	59
ENSG00000049540	ELN	TCGA-BRCA	59
ENSG00000196159	FAT4	TCGA-LUAD	58
ENSG00000186575	NF2	TCGA-OV	58
ENSG00000181722	ZBTB20	TCGA-LGG	58
ENSG00000165323	FAT3	TCGA-THCA	58
ENSG00000141736	ERBB2	TCGA-BRCA	58
ENSG00000133703	KRAS	TCGA-BRCA	58
ENSG00000183337	BCOR	TCGA-COAD	57
ENSG00000180370	PAK2	TCGA-THCA	57
ENSG00000171862	PTEN	TCGA-KIRP	57
ENSG00000163930	BAP1	TCGA-KIRP	57
ENSG00000147140	NONO	TCGA-BRCA	57
ENSG00000129204	USP6	TCGA-THCA	57
ENSG00000128714	HOXD13	TCGA-BRCA	57
ENSG00000126883	NUP214	TCGA-KIRP	57
ENSG00000215301	DDX3X	TCGA-BRCA	56
ENSG00000213281	NRAS	TCGA-LUAD	56
ENSG00000196159	FAT4	TCGA-BRCA	56
ENSG00000180917	CMTR2	TCGA-LUAD	56
ENSG00000174775	HRAS	TCGA-PRAD	56
ENSG00000174775	HRAS	TCGA-BRCA	56
ENSG00000173575	CHD2	TCGA-KIRP	56
ENSG00000168702	LRP1B	TCGA-THCA	56
ENSG00000157388	CACNA1D	TCGA-BRCA	56
ENSG00000144476	ACKR3	TCGA-OV	56
ENSG00000133703	KRAS	TCGA-LUAD	56
ENSG00000083168	KAT6A	TCGA-KIRP	56
ENSG00000037280	FLT4	TCGA-LUAD	56
ENSG00000182901	RGS7	TCGA-BRCA	55
ENSG00000167548	KMT2D	TCGA-BRCA	55
ENSG00000134853	PDGFRA	TCGA-LGG	55
ENSG00000128052	KDR	TCGA-LUAD	55
ENSG00000127616	SMARCA4	TCGA-LUAD	55
ENSG00000117713	ARID1A	TCGA-KIRP	55
ENSG00000115524	SF3B1	TCGA-BRCA	55
ENSG00000100345	MYH9	TCGA-BRCA	55
ENSG00000079102	RUNX1T1	TCGA-LGG	55
ENSG00000147050	KDM6A	TCGA-KIRP	54
ENSG00000062822	POLD1	TCGA-BRCA	54
ENSG00000049618	ARID1B	TCGA-LGG	54
ENSG00000178104	PDE4DIP	TCGA-THCA	53
ENSG00000168036	CTNNB1	TCGA-LUAD	53
ENSG00000141510	TP53	TCGA-LGG	53
ENSG00000135111	TBX3	TCGA-BRCA	53
ENSG00000133703	KRAS	TCGA-TGCT	53
ENSG00000133703	KRAS	TCGA-KIRP	53
ENSG00000130779	CLIP1	TCGA-LUAD	53
ENSG00000111276	CDKN1B	TCGA-BRCA	53
ENSG00000105568	PPP2R1A	TCGA-THCA	53
ENSG00000080824	HSP90AA1	TCGA-BRCA	53
ENSG00000196498	NCOR2	TCGA-BRCA	52
ENSG00000160201	U2AF1	TCGA-LUAD	52
ENSG00000157764	BRAF	TCGA-LGG	52
ENSG00000148737	TCF7L2	TCGA-COAD	52
ENSG00000141510	TP53	TCGA-KIRP	52
ENSG00000139687	RB1	TCGA-OV	52
ENSG00000119772	DNMT3A	TCGA-THCA	52
ENSG00000109906	ZBTB16	TCGA-BRCA	52
ENSG00000107485	GATA3	TCGA-BRCA	52
ENSG00000106462	EZH2	TCGA-LUAD	52
ENSG00000101115	SALL4	TCGA-BRCA	52
ENSG00000055609	KMT2C	TCGA-LUAD	52
ENSG00000175387	SMAD2	TCGA-BRCA	51
ENSG00000174775	HRAS	TCGA-COAD	51
ENSG00000171862	PTEN	TCGA-LGG	51
ENSG00000157764	BRAF	TCGA-LUAD	51
ENSG00000148400	NOTCH1	TCGA-TGCT	51
ENSG00000125398	SOX9	TCGA-COAD	51
ENSG00000123080	CDKN2C	TCGA-LGG	51
ENSG00000065361	ERBB3	TCGA-BRCA	51
ENSG00000213281	NRAS	TCGA-UCEC	50
ENSG00000168702	LRP1B	TCGA-OV	50
ENSG00000142798	HSPG2	TCGA-COAD	50
ENSG00000131941	RHPN2	TCGA-THCA	50
ENSG00000121879	PIK3CA	TCGA-TGCT	50
ENSG00000101972	STAG2	TCGA-KIRP	50
ENSG00000064012	CASP8	TCGA-BRCA	50
ENSG00000204217	BMPR2	TCGA-STAD	49
ENSG00000198793	MTOR	TCGA-UCEC	49
