Gene ID	Gene name	Cohort	Count
ENSG00000108389	MTMR4	TCGA-STAD	14
ENSG00000107669	ATE1	TCGA-CESC	14
ENSG00000104823	ECH1	TCGA-LUSC	14
ENSG00000104714	ERICH1	TCGA-STAD	14
ENSG00000103226	NOMO3	TCGA-CESC	14
ENSG00000102554	KLF5	TCGA-LUSC	14
ENSG00000102144	PGK1	TCGA-LUSC	14
ENSG00000101596	SMCHD1	TCGA-HNSC	14
ENSG00000100665	SERPINA4	TCGA-SARC	14
ENSG00000088832	FKBP1A	TCGA-PRAD	14
ENSG00000088256	GNA11	TCGA-SKCM	14
ENSG00000088038	CNOT3	TCGA-PRAD	14
ENSG00000087448	KLHL42	TCGA-STAD	14
ENSG00000087087	SRRT	TCGA-LGG	14
ENSG00000086015	MAST2	TCGA-THCA	14
ENSG00000078814	MYH7B	TCGA-SKCM	14
ENSG00000077514	POLD3	TCGA-LIHC	14
ENSG00000077009	NMRK2	TCGA-KIRP	14
ENSG00000072840	EVC	TCGA-OV	14
ENSG00000070778	PTPN21	TCGA-LUSC	14
ENSG00000070756	PABPC1	TCGA-LUSC	14
ENSG00000069943	PIGB	TCGA-PAAD	14
ENSG00000068097	HEATR6	TCGA-UCEC	14
ENSG00000066336	SPI1	TCGA-ESCA	14
ENSG00000055609	KMT2C	TCGA-LIHC	14
ENSG00000054392	HHAT	TCGA-HNSC	14
ENSG00000051341	POLQ	TCGA-SKCM	14
ENSG00000037280	FLT4	TCGA-LIHC	14
ENSG00000029993	HMGB3	TCGA-KIRP	14
ENSG00000013810	TACC3	TCGA-THCA	14
ENSG00000013306	SLC25A39	TCGA-HNSC	14
ENSG00000003400	CASP10	TCGA-LIHC	14
ENSG00000275385	CCL18	TCGA-PRAD	13
ENSG00000257365	FNTB	TCGA-LGG	13
ENSG00000256683	ZNF350	TCGA-STAD	13
ENSG00000250506	CDK3	TCGA-UCEC	13
ENSG00000244607	CCDC13	TCGA-PCPG	13
ENSG00000242574	HLA-DMB	TCGA-OV	13
ENSG00000240857	RDH14	TCGA-PCPG	13
ENSG00000235268	KDM4E	TCGA-SARC	13
ENSG00000235034	C19orf81	TCGA-PRAD	13
ENSG00000234745	HLA-B	TCGA-CESC	13
ENSG00000230797	YY2	TCGA-LUSC	13
ENSG00000221938	OR2A14	TCGA-HNSC	13
ENSG00000213967	ZNF726	TCGA-LIHC	13
ENSG00000213347	MXD3	TCGA-UCEC	13
ENSG00000213281	NRAS	TCGA-GBM	13
ENSG00000213145	CRIP1	TCGA-HNSC	13
ENSG00000212128	TAS2R13	TCGA-MESO	13
ENSG00000206503	HLA-A	TCGA-LAML	13
ENSG00000205882	DEFB134	TCGA-LUSC	13
ENSG00000198874	TYW1	TCGA-STAD	13
ENSG00000198856	OSTC	TCGA-LGG	13
ENSG00000198598	MMP17	TCGA-HNSC	13
ENSG00000198042	MAK16	TCGA-CESC	13
ENSG00000198033	TUBA3C	TCGA-PRAD	13
ENSG00000198003	CCDC151	TCGA-HNSC	13
ENSG00000197885	NKIRAS1	TCGA-LGG	13
ENSG00000197776	KLHDC1	TCGA-PRAD	13
ENSG00000197403	OR6N1	TCGA-LUAD	13
ENSG00000196850	PPTC7	TCGA-UCS	13
ENSG00000196611	MMP1	TCGA-STAD	13
ENSG00000196159	FAT4	TCGA-PAAD	13
ENSG00000196159	FAT4	TCGA-LIHC	13
ENSG00000189430	NCR1	TCGA-HNSC	13
ENSG00000189409	MMP23B	TCGA-OV	13
ENSG00000188042	ARL4C	TCGA-KIRP	13
ENSG00000187323	DCC	TCGA-PAAD	13
ENSG00000186732	MPPED1	TCGA-PRAD	13
ENSG00000186153	WWOX	TCGA-LUSC	13
ENSG00000185972	CCIN	TCGA-HNSC	13
ENSG00000185950	IRS2	TCGA-KIRP	13
ENSG00000185787	MORF4L1	TCGA-OV	13
ENSG00000185352	HS6ST3	TCGA-PCPG	13
ENSG00000184445	KNTC1	TCGA-THCA	13
ENSG00000184378	ACTRT3	TCGA-LIHC	13
ENSG00000184056	VPS33B	TCGA-UCEC	13
ENSG00000183833	MAATS1	TCGA-MESO	13
ENSG00000183671	GPR1	TCGA-LGG	13
ENSG00000183454	GRIN2A	TCGA-STAD	13
ENSG00000183337	BCOR	TCGA-GBM	13
ENSG00000180938	ZNF572	TCGA-PRAD	13
ENSG00000180447	GAS1	TCGA-OV	13
ENSG00000178084	HTR3C	TCGA-SARC	13
ENSG00000177728	KIAA0195	TCGA-THCA	13
ENSG00000176476	CCDC101	TCGA-STAD	13
ENSG00000176293	ZNF135	TCGA-HNSC	13
ENSG00000176055	MBLAC2	TCGA-UCEC	13
ENSG00000175544	CABP4	TCGA-TGCT	13
ENSG00000175322	ZNF519	TCGA-PAAD	13
ENSG00000174950	CD164L2	TCGA-OV	13
ENSG00000174886	NDUFA11	TCGA-LUSC	13
ENSG00000173113	TRMT112	TCGA-UCEC	13
ENSG00000172216	CEBPB	TCGA-CESC	13
ENSG00000171853	TRAPPC12	TCGA-PAAD	13
ENSG00000171476	HOPX	TCGA-THCA	13
ENSG00000171385	KCND3	TCGA-MESO	13
ENSG00000171206	TRIM8	TCGA-LUSC	13
ENSG00000170837	GPR27	TCGA-UCS	13
ENSG00000169896	ITGAM	TCGA-CESC	13
ENSG00000169612	FAM103A1	TCGA-LIHC	13
ENSG00000169564	PCBP1	TCGA-PAAD	13
ENSG00000168916	ZNF608	TCGA-OV	13
ENSG00000168702	LRP1B	TCGA-GBM	13
ENSG00000168476	REEP4	TCGA-UCS	13
ENSG00000168036	CTNNB1	TCGA-LIHC	13
ENSG00000167914	GSDMA	TCGA-OV	13
ENSG00000166598	HSP90B1	TCGA-HNSC	13
ENSG00000166477	LEO1	TCGA-UCEC	13
ENSG00000166181	API5	TCGA-PCPG	13
ENSG00000165868	HSPA12A	TCGA-CESC	13
ENSG00000165792	METTL17	TCGA-PRAD	13
ENSG00000165506	DNAAF2	TCGA-UCEC	13
ENSG00000165323	FAT3	TCGA-PRAD	13
ENSG00000165125	TRPV6	TCGA-MESO	13
ENSG00000164749	HNF4G	TCGA-LUSC	13
ENSG00000164611	PTTG1	TCGA-PAAD	13
ENSG00000163946	FAM208A	TCGA-HNSC	13
ENSG00000163806	SPDYA	TCGA-PRAD	13
ENSG00000163590	PPM1L	TCGA-STAD	13
ENSG00000163513	TGFBR2	TCGA-READ	13
ENSG00000163273	NPPC	TCGA-THCA	13
ENSG00000162852	CNST	TCGA-THCA	13
ENSG00000162391	FAM151A	TCGA-KIRP	13
ENSG00000162384	C1orf123	TCGA-LGG	13
ENSG00000160867	FGFR4	TCGA-GBM	13
ENSG00000159733	ZFYVE28	TCGA-TGCT	13
ENSG00000159556	ISL2	TCGA-STAD	13
ENSG00000157764	BRAF	TCGA-GBM	13
ENSG00000156860	FBRS	TCGA-LUSC	13
ENSG00000156675	RAB11FIP1	TCGA-KIRP	13
ENSG00000154102	C16orf74	TCGA-LIHC	13
ENSG00000152683	SLC30A6	TCGA-SARC	13
ENSG00000152217	SETBP1	TCGA-ACC	13
ENSG00000151923	TIAL1	TCGA-LUAD	13
ENSG00000151790	TDO2	TCGA-SKCM	13
ENSG00000151704	KCNJ1	TCGA-PAAD	13
ENSG00000150457	LATS2	TCGA-MESO	13
ENSG00000149781	FERMT3	TCGA-ESCA	13
ENSG00000149488	TMC2	TCGA-LUSC	13
ENSG00000147119	CHST7	TCGA-SARC	13
ENSG00000146592	CREB5	TCGA-READ	13
ENSG00000146469	VIP	TCGA-LIHC	13
ENSG00000146038	DCDC2	TCGA-READ	13
ENSG00000144152	FBLN7	TCGA-READ	13
ENSG00000143977	SNRPG	TCGA-LUSC	13
ENSG00000143970	ASXL2	TCGA-BLCA	13
ENSG00000143819	EPHX1	TCGA-KIRP	13
ENSG00000142082	SIRT3	TCGA-LAML	13
ENSG00000141994	DUS3L	TCGA-CESC	13
ENSG00000141627	DYM	TCGA-ACC	13
ENSG00000140332	TLE3	TCGA-CESC	13
ENSG00000139624	CERS5	TCGA-HNSC	13
ENSG00000138794	CASP6	TCGA-PRAD	13
ENSG00000138685	FGF2	TCGA-SKCM	13
ENSG00000138162	TACC2	TCGA-PCPG	13
ENSG00000137831	UACA	TCGA-UCEC	13
ENSG00000136942	RPL35	TCGA-OV	13
ENSG00000136802	LRRC8A	TCGA-HNSC	13
ENSG00000136487	GH2	TCGA-CESC	13
ENSG00000135824	RGS8	TCGA-SARC	13
ENSG00000135678	CPM	TCGA-SKCM	13
ENSG00000135678	CPM	TCGA-PRAD	13
ENSG00000135521	LTV1	TCGA-LIHC	13
ENSG00000134539	KLRD1	TCGA-SKCM	13
ENSG00000134532	SOX5	TCGA-STAD	13
ENSG00000134369	NAV1	TCGA-LUSC	13
ENSG00000134001	EIF2S1	TCGA-LGG	13
ENSG00000133107	TRPC4	TCGA-LGG	13
ENSG00000132702	HAPLN2	TCGA-LGG	13
ENSG00000132259	CNGA4	TCGA-TGCT	13
ENSG00000131069	ACSS2	TCGA-LGG	13
ENSG00000130881	LRP3	TCGA-UVM	13
ENSG00000130724	CHMP2A	TCGA-THCA	13
ENSG00000130713	EXOSC2	TCGA-SKCM	13
ENSG00000130700	GATA5	TCGA-MESO	13
ENSG00000130037	KCNA5	TCGA-PAAD	13
ENSG00000129083	COPB1	TCGA-CESC	13
ENSG00000128463	EMC4	TCGA-PCPG	13
ENSG00000127586	CHTF18	TCGA-PRAD	13
ENSG00000127252	HRASLS	TCGA-LGG	13
ENSG00000126453	BCL2L12	TCGA-SKCM	13
ENSG00000126254	RBM42	TCGA-ESCA	13
ENSG00000125304	TM9SF2	TCGA-UCEC	13
ENSG00000125166	GOT2	TCGA-STAD	13
ENSG00000124159	MATN4	TCGA-SARC	13
ENSG00000123975	CKS2	TCGA-LUSC	13
ENSG00000123595	RAB9A	TCGA-PRAD	13
ENSG00000123562	MORF4L2	TCGA-LGG	13
ENSG00000123473	STIL	TCGA-CESC	13
ENSG00000121211	MND1	TCGA-STAD	13
ENSG00000119772	DNMT3A	TCGA-LIHC	13
ENSG00000118564	FBXL5	TCGA-STAD	13
ENSG00000117748	RPA2	TCGA-ESCA	13
ENSG00000117713	ARID1A	TCGA-CESC	13
ENSG00000116151	MORN1	TCGA-ESCA	13
ENSG00000116132	PRRX1	TCGA-STAD	13
ENSG00000116014	KISS1R	TCGA-PAAD	13
ENSG00000115524	SF3B1	TCGA-PRAD	13
ENSG00000115289	PCGF1	TCGA-PRAD	13
ENSG00000115274	INO80B	TCGA-HNSC	13
ENSG00000115137	DNAJC27	TCGA-PRAD	13
ENSG00000115042	FAHD2A	TCGA-SARC	13
ENSG00000114850	SSR3	TCGA-HNSC	13
ENSG00000114331	ACAP2	TCGA-LIHC	13
ENSG00000113597	TRAPPC13	TCGA-ESCA	13
ENSG00000112697	TMEM30A	TCGA-PRAD	13
ENSG00000111540	RAB5B	TCGA-OV	13
ENSG00000111348	ARHGDIB	TCGA-KIRP	13
ENSG00000110888	CAPRIN2	TCGA-UCS	13
ENSG00000110696	C11orf58	TCGA-UCEC	13
ENSG00000110422	HIPK3	TCGA-LUAD	13
ENSG00000110079	MS4A4A	TCGA-HNSC	13
ENSG00000109743	BST1	TCGA-ESCA	13
ENSG00000108671	PSMD11	TCGA-SARC	13
ENSG00000106009	BRAT1	TCGA-PRAD	13
ENSG00000105835	NAMPT	TCGA-READ	13
ENSG00000105254	TBCB	TCGA-MESO	13
ENSG00000104537	ANXA13	TCGA-HNSC	13
ENSG00000104228	TRIM35	TCGA-HNSC	13
ENSG00000103549	RNF40	TCGA-CESC	13
ENSG00000103546	SLC6A2	TCGA-PRAD	13
ENSG00000103160	HSDL1	TCGA-TGCT	13
ENSG00000103126	AXIN1	TCGA-LIHC	13
ENSG00000102312	PORCN	TCGA-PRAD	13
ENSG00000102128	RAB40AL	TCGA-LAML	13
ENSG00000101327	PDYN	TCGA-PCPG	13
ENSG00000100600	LGMN	TCGA-LUSC	13
ENSG00000100503	NIN	TCGA-MESO	13
ENSG00000100075	SLC25A1	TCGA-TGCT	13
ENSG00000100024	UPB1	TCGA-LGG	13
ENSG00000099804	CDC34	TCGA-THCA	13
ENSG00000095059	DHPS	TCGA-LUSC	13
ENSG00000091527	CDV3	TCGA-TGCT	13
ENSG00000091262	ABCC6	TCGA-ESCA	13
ENSG00000089327	FXYD5	TCGA-HNSC	13
ENSG00000088280	ASAP3	TCGA-UCEC	13
ENSG00000087460	GNAS	TCGA-ACC	13
ENSG00000087237	CETP	TCGA-THCA	13
ENSG00000085978	ATG16L1	TCGA-PCPG	13
ENSG00000085224	ATRX	TCGA-ACC	13
ENSG00000082397	EPB41L3	TCGA-UCEC	13
ENSG00000075303	SLC25A40	TCGA-PRAD	13
ENSG00000072818	ACAP1	TCGA-BLCA	13
ENSG00000072518	MARK2	TCGA-PAAD	13
ENSG00000071051	NCK2	TCGA-PCPG	13
ENSG00000070501	POLB	TCGA-KIRP	13
ENSG00000061794	MRPS35	TCGA-COAD	13
ENSG00000061492	WNT8A	TCGA-LUSC	13
ENSG00000055732	MCOLN3	TCGA-THCA	13
ENSG00000055609	KMT2C	TCGA-SKCM	13
ENSG00000051382	PIK3CB	TCGA-GBM	13
ENSG00000037280	FLT4	TCGA-LUSC	13
ENSG00000034677	RNF19A	TCGA-LGG	13
ENSG00000034510	TMSB10	TCGA-LUAD	13
ENSG00000028116	VRK2	TCGA-LIHC	13
ENSG00000022567	SLC45A4	TCGA-UVM	13
ENSG00000022355	GABRA1	TCGA-LGG	13
ENSG00000012504	NR1H4	TCGA-UVM	13
ENSG00000011260	UTP18	TCGA-SARC	13
ENSG00000008441	NFIX	TCGA-THCA	13
ENSG00000007402	CACNA2D2	TCGA-UVM	13
ENSG00000006695	COX10	TCGA-TGCT	13
ENSG00000001631	KRIT1	TCGA-OV	13
ENSG00000001629	ANKIB1	TCGA-THCA	13
ENSG00000277745	H2AB3	TCGA-CESC	12
ENSG00000277481	PKD1L3	TCGA-SKCM	12
ENSG00000272772	CTD-2410N18.5	TCGA-LUSC	12
ENSG00000267060	PTGES3L	TCGA-PRAD	12
ENSG00000258947	TUBB3	TCGA-PRAD	12
ENSG00000256771	ZNF253	TCGA-SKCM	12
ENSG00000255398	HCAR3	TCGA-UCEC	12
ENSG00000255245	FXYD6-FXYD2	TCGA-TGCT	12
ENSG00000248746	ACTN3	TCGA-HNSC	12
ENSG00000243244	STON1	TCGA-STAD	12
ENSG00000242362	CT47A2	TCGA-SKCM	12
ENSG00000239789	MRPS17	TCGA-HNSC	12
ENSG00000232119	MCTS1	TCGA-KICH	12
ENSG00000227151	PRR20D	TCGA-PRAD	12
ENSG00000213927	CCL27	TCGA-PAAD	12
ENSG00000213809	KLRK1	TCGA-ESCA	12
ENSG00000213648	SULT1A4	TCGA-UVM	12
ENSG00000213339	QTRT1	TCGA-HNSC	12
ENSG00000213213	CCDC183	TCGA-CESC	12
ENSG00000213064	SFT2D2	TCGA-HNSC	12
ENSG00000206503	HLA-A	TCGA-SKCM	12
ENSG00000205857	NANOGNB	TCGA-CESC	12
ENSG00000205571	SMN2	TCGA-LIHC	12
ENSG00000205356	TECPR1	TCGA-UCS	12
ENSG00000205060	SLC35B4	TCGA-SARC	12
ENSG00000204628	GNB2L1	TCGA-LUAD	12
ENSG00000204381	LAYN	TCGA-MESO	12
ENSG00000204371	EHMT2	TCGA-OV	12
ENSG00000204257	HLA-DMA	TCGA-LAML	12
ENSG00000204179	PTPN20A	TCGA-LAML	12
ENSG00000204065	TCEAL5	TCGA-HNSC	12
ENSG00000204020	LIPN	TCGA-MESO	12
ENSG00000198795	ZNF521	TCGA-PAAD	12
ENSG00000198398	TMEM207	TCGA-LGG	12
ENSG00000198142	SOWAHC	TCGA-HNSC	12
ENSG00000198099	ADH4	TCGA-LGG	12
ENSG00000197849	OR8G1	TCGA-SARC	12
ENSG00000197808	ZNF461	TCGA-PRAD	12
ENSG00000197555	SIPA1L1	TCGA-READ	12
ENSG00000197465	GYPE	TCGA-LUAD	12
ENSG00000197272	IL27	TCGA-LUSC	12
ENSG00000197043	ANXA6	TCGA-LGG	12
ENSG00000196912	ANKRD36B	TCGA-PRAD	12
ENSG00000196747	HIST1H2AI	TCGA-LGG	12
ENSG00000196639	HRH1	TCGA-LGG	12
ENSG00000196502	SULT1A1	TCGA-SARC	12
ENSG00000196230	TUBB	TCGA-SARC	12
ENSG00000196218	RYR1	TCGA-OV	12
ENSG00000196152	ZNF79	TCGA-LGG	12
ENSG00000196141	SPATS2L	TCGA-TGCT	12
ENSG00000196109	ZNF676	TCGA-UCEC	12
ENSG00000196081	ZNF724P	TCGA-ESCA	12
ENSG00000188921	PTPLAD2	TCGA-HNSC	12
ENSG00000188822	CNR2	TCGA-HNSC	12
ENSG00000188779	SKOR1	TCGA-SKCM	12
ENSG00000188659	FAM154B	TCGA-ESCA	12
ENSG00000188549	C15orf52	TCGA-PAAD	12
ENSG00000187733	AMY1C	TCGA-SKCM	12
ENSG00000187533	C4orf40	TCGA-UVM	12
ENSG00000186174	BCL9L	TCGA-READ	12
ENSG00000185960	SHOX	TCGA-LIHC	12
ENSG00000185920	PTCH1	TCGA-MESO	12
ENSG00000185792	NLRP9	TCGA-THCA	12
ENSG00000185344	ATP6V0A2	TCGA-THCA	12
ENSG00000185176	AQP12B	TCGA-TGCT	12
ENSG00000185158	LRRC37B	TCGA-PCPG	12
ENSG00000185122	HSF1	TCGA-PAAD	12
ENSG00000184916	JAG2	TCGA-SKCM	12
ENSG00000184304	PRKD1	TCGA-TGCT	12
ENSG00000184203	PPP1R2	TCGA-LUSC	12
ENSG00000183853	KIRREL	TCGA-OV	12
ENSG00000183760	PAPL	TCGA-LUAD	12
ENSG00000183684	ALYREF	TCGA-STAD	12
ENSG00000183549	ACSM5	TCGA-LUSC	12
ENSG00000183549	ACSM5	TCGA-BLCA	12
ENSG00000183208	GDPGP1	TCGA-TGCT	12
ENSG00000183117	CSMD1	TCGA-BLCA	12
ENSG00000183049	CAMK1D	TCGA-LIHC	12
ENSG00000182872	RBM10	TCGA-PAAD	12
ENSG00000182810	DDX28	TCGA-KIRP	12
ENSG00000181847	TIGIT	TCGA-OV	12
ENSG00000181274	FRAT2	TCGA-ESCA	12
ENSG00000180263	FGD6	TCGA-KIRP	12
ENSG00000179041	RRS1	TCGA-SKCM	12
ENSG00000178522	AMBN	TCGA-SKCM	12
ENSG00000178235	SLITRK1	TCGA-HNSC	12
ENSG00000178075	GRAMD1C	TCGA-UCS	12
ENSG00000177688	SUMO4	TCGA-HNSC	12
ENSG00000177595	PIDD	TCGA-ACC	12
ENSG00000176895	OR51A7	TCGA-ACC	12
ENSG00000176893	OR51G2	TCGA-OV	12
ENSG00000176340	COX8A	TCGA-LUSC	12
ENSG00000174607	UGT8	TCGA-HNSC	12
ENSG00000173040	EVC2	TCGA-BLCA	12
ENSG00000172967	XKR3	TCGA-PRAD	12
ENSG00000172943	PHF8	TCGA-THCA	12
ENSG00000171916	LGALS9C	TCGA-LIHC	12
ENSG00000171916	LGALS9C	TCGA-ESCA	12
ENSG00000171862	PTEN	TCGA-READ	12
ENSG00000171533	MAP6	TCGA-SKCM	12
ENSG00000171503	ETFDH	TCGA-PCPG	12
ENSG00000171115	GIMAP8	TCGA-KIRP	12
ENSG00000170891	CYTL1	TCGA-STAD	12
ENSG00000169660	HEXDC	TCGA-LGG	12
ENSG00000169397	RNASE3	TCGA-COAD	12
ENSG00000169297	NR0B1	TCGA-HNSC	12
ENSG00000169217	CD2BP2	TCGA-UCEC	12
ENSG00000169062	UPF3A	TCGA-STAD	12
ENSG00000168916	ZNF608	TCGA-PAAD	12
ENSG00000168397	ATG4B	TCGA-SKCM	12
ENSG00000168386	FILIP1L	TCGA-LGG	12
ENSG00000167996	FTH1	TCGA-PRAD	12
ENSG00000167925	GHDC	TCGA-HNSC	12
ENSG00000167634	NLRP7	TCGA-COAD	12
ENSG00000167414	GNG8	TCGA-UCEC	12
ENSG00000166902	MRPL16	TCGA-TGCT	12
ENSG00000166902	MRPL16	TCGA-LUAD	12
ENSG00000166341	DCHS1	TCGA-LUSC	12
ENSG00000166266	CUL5	TCGA-STAD	12
ENSG00000166164	BRD7	TCGA-LIHC	12
ENSG00000165584	SSX3	TCGA-THCA	12
ENSG00000165556	CDX2	TCGA-ESCA	12
ENSG00000165434	PGM2L1	TCGA-UCEC	12
ENSG00000165323	FAT3	TCGA-ESCA	12
ENSG00000165138	ANKS6	TCGA-COAD	12
ENSG00000163909	HEYL	TCGA-LUAD	12
ENSG00000163666	HESX1	TCGA-LUSC	12
ENSG00000163374	YY1AP1	TCGA-PRAD	12
ENSG00000163220	S100A9	TCGA-LUSC	12
ENSG00000163001	CCDC104	TCGA-SKCM	12
ENSG00000162086	ZNF75A	TCGA-LGG	12
ENSG00000160785	SLC25A44	TCGA-LUSC	12
ENSG00000160753	RUSC1	TCGA-BRCA	12
ENSG00000160445	ZER1	TCGA-STAD	12
ENSG00000159723	AGRP	TCGA-OV	12
ENSG00000159374	M1AP	TCGA-LUSC	12
ENSG00000158815	FGF17	TCGA-OV	12
ENSG00000158092	NCK1	TCGA-UCEC	12
ENSG00000158055	GRHL3	TCGA-PRAD	12
ENSG00000157764	BRAF	TCGA-SKCM	12
ENSG00000157388	CACNA1D	TCGA-GBM	12
ENSG00000153107	ANAPC1	TCGA-ESCA	12
ENSG00000152784	PRDM8	TCGA-PCPG	12
ENSG00000152422	XRCC4	TCGA-STAD	12
ENSG00000151834	GABRA2	TCGA-PRAD	12
ENSG00000151148	UBE3B	TCGA-PRAD	12
ENSG00000151065	DCP1B	TCGA-UCEC	12
ENSG00000147894	C9orf72	TCGA-LGG	12
ENSG00000147889	CDKN2A	TCGA-HNSC	12
ENSG00000147050	KDM6A	TCGA-ESCA	12
ENSG00000146648	EGFR	TCGA-GBM	12
ENSG00000146376	ARHGAP18	TCGA-LUSC	12
ENSG00000146192	FGD2	TCGA-LIHC	12
ENSG00000145358	DDIT4L	TCGA-COAD	12
ENSG00000145050	MANF	TCGA-STAD	12
ENSG00000144959	NCEH1	TCGA-LGG	12
ENSG00000144677	CTDSPL	TCGA-SARC	12
ENSG00000143742	SRP9	TCGA-THCA	12
ENSG00000143612	C1orf43	TCGA-LUSC	12
ENSG00000143493	INTS7	TCGA-UCS	12
ENSG00000143387	CTSK	TCGA-UCEC	12
ENSG00000143379	SETDB1	TCGA-LIHC	12
ENSG00000143196	DPT	TCGA-LGG	12
ENSG00000143067	ZNF697	TCGA-SKCM	12
ENSG00000141971	MVB12A	TCGA-LAML	12
ENSG00000141510	TP53	TCGA-SKCM	12
ENSG00000141485	SLC13A5	TCGA-UCEC	12
ENSG00000141458	NPC1	TCGA-UCEC	12
ENSG00000140937	CDH11	TCGA-LIHC	12
ENSG00000140937	CDH11	TCGA-ESCA	12
ENSG00000140284	SLC27A2	TCGA-UCEC	12
ENSG00000140265	ZSCAN29	TCGA-TGCT	12
ENSG00000139899	CBLN3	TCGA-PCPG	12
ENSG00000138670	RASGEF1B	TCGA-KICH	12
ENSG00000138002	IFT172	TCGA-LUSC	12
ENSG00000137877	SPTBN5	TCGA-LUSC	12
ENSG00000136869	TLR4	TCGA-HNSC	12
ENSG00000136802	LRRC8A	TCGA-LIHC	12
ENSG00000136732	GYPC	TCGA-LUSC	12
ENSG00000136144	RCBTB1	TCGA-BLCA	12
ENSG00000136108	CKAP2	TCGA-MESO	12
ENSG00000135406	PRPH	TCGA-PRAD	12
ENSG00000135374	ELF5	TCGA-LUSC	12
ENSG00000135164	DMTF1	TCGA-PCPG	12
ENSG00000133392	MYH11	TCGA-LAML	12
ENSG00000132915	PDE6A	TCGA-UCEC	12
ENSG00000131042	LILRB2	TCGA-HNSC	12
ENSG00000131013	PPIL4	TCGA-SKCM	12
ENSG00000130827	PLXNA3	TCGA-ESCA	12
ENSG00000130766	SESN2	TCGA-STAD	12
ENSG00000130479	MAP1S	TCGA-LIHC	12
ENSG00000130475	FCHO1	TCGA-LGG	12
ENSG00000128833	MYO5C	TCGA-TGCT	12
ENSG00000128805	ARHGAP22	TCGA-SARC	12
ENSG00000127824	TUBA4A	TCGA-STAD	12
ENSG00000127616	SMARCA4	TCGA-READ	12
ENSG00000127364	TAS2R4	TCGA-BLCA	12
ENSG00000125970	RALY	TCGA-READ	12
ENSG00000125629	INSIG2	TCGA-HNSC	12
ENSG00000124198	ARFGEF2	TCGA-KIRP	12
ENSG00000124006	OBSL1	TCGA-LIHC	12
ENSG00000123453	SARDH	TCGA-OV	12
ENSG00000123094	RASSF8	TCGA-MESO	12
ENSG00000122180	MYOG	TCGA-PRAD	12
ENSG00000121807	CCR2	TCGA-LGG	12
ENSG00000121797	CCRL2	TCGA-SKCM	12
ENSG00000121716	PILRB	TCGA-PRAD	12
ENSG00000121446	RGSL1	TCGA-STAD	12
ENSG00000121377	TAS2R7	TCGA-LIHC	12
ENSG00000121318	TAS2R10	TCGA-SKCM	12
ENSG00000120594	PLXDC2	TCGA-STAD	12
ENSG00000120533	ENY2	TCGA-STAD	12
ENSG00000119699	TGFB3	TCGA-LIHC	12
ENSG00000119138	KLF9	TCGA-PAAD	12
ENSG00000118369	USP35	TCGA-OV	12
ENSG00000116991	SIPA1L2	TCGA-HNSC	12
ENSG00000116774	OLFML3	TCGA-LGG	12
ENSG00000116161	CACYBP	TCGA-CESC	12
ENSG00000115138	POMC	TCGA-OV	12
ENSG00000114956	DGUOK	TCGA-LAML	12
ENSG00000114857	NKTR	TCGA-LAML	12
ENSG00000114850	SSR3	TCGA-UVM	12
ENSG00000113805	CNTN3	TCGA-THCA	12
ENSG00000113273	ARSB	TCGA-SKCM	12
ENSG00000112357	PEX7	TCGA-LUAD	12
ENSG00000111530	CAND1	TCGA-TGCT	12
ENSG00000110060	PUS3	TCGA-BLCA	12
ENSG00000109790	KLHL5	TCGA-KIRP	12
ENSG00000109265	KIAA1211	TCGA-LUSC	12
ENSG00000109193	SULT1E1	TCGA-KICH	12
ENSG00000109158	GABRA4	TCGA-LGG	12
ENSG00000109113	RAB34	TCGA-LAML	12
ENSG00000109046	WSB1	TCGA-UCEC	12
ENSG00000108861	DUSP3	TCGA-PRAD	12
ENSG00000108830	RND2	TCGA-OV	12
ENSG00000108510	MED13	TCGA-SKCM	12
ENSG00000107954	NEURL1	TCGA-LGG	12
ENSG00000107779	BMPR1A	TCGA-READ	12
ENSG00000107672	NSMCE4A	TCGA-UCEC	12
ENSG00000106993	CDC37L1	TCGA-LIHC	12
ENSG00000106258	CYP3A5	TCGA-LGG	12
ENSG00000105617	LENG1	TCGA-SKCM	12
ENSG00000105523	FAM83E	TCGA-LGG	12
ENSG00000105472	CLEC11A	TCGA-LGG	12
ENSG00000105404	RABAC1	TCGA-LUSC	12
ENSG00000105379	ETFB	TCGA-SARC	12
ENSG00000105289	TJP3	TCGA-LUSC	12
ENSG00000103326	CAPN15	TCGA-LUSC	12
ENSG00000103126	AXIN1	TCGA-ESCA	12
ENSG00000102699	PARP4	TCGA-READ	12
ENSG00000102043	MTMR8	TCGA-KIRP	12
ENSG00000101972	STAG2	TCGA-GBM	12
ENSG00000101557	USP14	TCGA-SKCM	12
ENSG00000100916	BRMS1L	TCGA-PAAD	12
ENSG00000100450	GZMH	TCGA-PRAD	12
ENSG00000100368	CSF2RB	TCGA-LUSC	12
ENSG00000100030	MAPK1	TCGA-LIHC	12
ENSG00000099949	LZTR1	TCGA-PAAD	12
ENSG00000099326	MZF1	TCGA-LIHC	12
ENSG00000097007	ABL1	TCGA-LIHC	12
ENSG00000095015	MAP3K1	TCGA-GBM	12
ENSG00000093000	NUP50	TCGA-LUSC	12
ENSG00000092067	CEBPE	TCGA-STAD	12
ENSG00000091436	MLTK	TCGA-SKCM	12
