GeneID	Gene name	TCGA cohort	p-value	p-value (corrected)
ENSG00000167768	KRT1	TCGA-THYM	2.60323899996998E-44	1.42339121068659E-38
ENSG00000142856	ITGB3BP	TCGA-THYM	4.27288725309863E-95	2.33631647358751E-89
ENSG00000137145	DENND4C	TCGA-THYM	9.61725611835955E-49	5.25849444862828E-43
ENSG00000110536	PTPMT1	TCGA-THYM	2.05746323581189E-51	1.12497357568752E-45
ENSG00000105136	ZNF419	TCGA-THYM	1.18500259546218E-74	6.47932164139026E-69
ENSG00000144035	NAT8	TCGA-THYM	4.2328803325217E-51	2.31444160957522E-45
ENSG00000100276	RASL10A	TCGA-THYM	6.3184636342489E-58	3.45479059054371E-52
ENSG00000010017	RANBP9	TCGA-THYM	3.24195300302686E-78	1.77262533713602E-72
ENSG00000197409	HIST1H3D	TCGA-THYM	4.95113993697658E-46	2.70716944132024E-40
ENSG00000123454	DBH	TCGA-THYM	4.29128782845591E-71	2.34637748497964E-65
ENSG00000150967	ABCB9	TCGA-THYM	1.87014420546057E-21	1.02255183822912E-15
ENSG00000162390	ACOT11	TCGA-THYM	1.25200838087116E-64	6.84569386467591E-59
ENSG00000133665	DYDC2	TCGA-THYM	3.59097504229953E-105	1.96346256070341E-99
ENSG00000244057	LCE3C	TCGA-THYM	1.56440315903232E-18	8.55379666086214E-13
ENSG00000158636	C11orf30	TCGA-THYM	2.53148661739746E-15	1.38415865820073E-09
ENSG00000177462	OR2T8	TCGA-THYM	1.51083994266422E-66	8.26092531330112E-61
ENSG00000104321	TRPA1	TCGA-THYM	2.7725018551684E-09	0.0015159402468634100
ENSG00000115159	GPD2	TCGA-THYM	1.00429522872034E-85	5.49125532274021E-80
ENSG00000080839	RBL1	TCGA-THYM	1.16365802434223E-16	6.36261443575774E-11
ENSG00000150510	FAM124A	TCGA-THYM	1.47109116011452E-96	8.04358811253938E-91
ENSG00000146072	TNFRSF21	TCGA-THYM	2.58176771085018E-44	1.41165120363553E-38
ENSG00000147655	RSPO2	TCGA-THYM	3.72394389615594E-104	2.03616687170846E-98
ENSG00000107854	TNKS2	TCGA-THYM	1.33466923206564E-57	7.29766438701153E-52
ENSG00000196437	ZNF569	TCGA-THYM	1.77491233669783E-54	9.70481242722629E-49
ENSG00000248333	CDK11B	TCGA-THYM	2.66299635845184E-36	1.45606515988522E-30
ENSG00000124496	TRERF1	TCGA-THYM	1.5331048033751E-25	8.38266445075027E-20
ENSG00000135119	RNFT2	TCGA-THYM	2.91158310467515E-55	1.59198667522497E-49
ENSG00000185669	SNAI3	TCGA-THYM	2.72411476350471E-64	1.48948329804482E-58
ENSG00000203772	SPRN	TCGA-THYM	3.80520122476243E-58	2.08059651007193E-52
ENSG00000205403	CFI	TCGA-CESC	4.14266927576592E-08	0.022651162785954600
ENSG00000130167	TSPAN16	TCGA-THYM	6.21164134669594E-74	3.39638262062236E-68
ENSG00000099977	DDT	TCGA-THYM	1.69963848441826E-26	9.29323231594763E-21
ENSG00000164054	SHISA5	TCGA-THYM	4.45985081476128E-11	2.43854384894273E-05
ENSG00000277075	H2AC8	TCGA-THYM	2.52088591285014E-75	1.37836243677046E-69
ENSG00000204086	RPA4	TCGA-THYM	7.41559793472688E-76	4.05467839195616E-70
ENSG00000197837	HIST4H4	TCGA-THYM	1.2219238582241E-66	6.681198614282E-61
ENSG00000112182	BACH2	TCGA-THYM	2.48916143339094E-80	1.3610162210652E-74
ENSG00000077063	CTTNBP2	TCGA-THYM	3.1606692197273E-16	1.72818123395483E-10
ENSG00000106682	EIF4H	TCGA-THYM	8.0337418552939E-60	4.39266527041203E-54
ENSG00000107187	LHX3	TCGA-THYM	1.96953294128574E-73	1.07689531303739E-67
ENSG00000169895	SYAP1	TCGA-THYM	3.70760719420122E-54	2.02723433882376E-48
ENSG00000102781	KATNAL1	TCGA-THYM	9.0100053363798E-73	4.92646368780974E-67
ENSG00000166035	LIPC	TCGA-THYM	8.76849012338218E-20	4.79440872419254E-14
ENSG00000196131	VN1R2	TCGA-THYM	1.31673259924778E-69	7.19959100418902E-64
ENSG00000147408	CSGALNACT1	TCGA-THYM	2.78772876508572E-67	1.52426597098728E-61
ENSG00000197705	KLHL14	TCGA-THYM	9.69968650815466E-89	5.30356548986928E-83
ENSG00000013725	CD6	TCGA-THYM	9.7316943778244E-62	5.32106665682369E-56
ENSG00000126602	TRAP1	TCGA-THYM	1.8647038185804E-09	0.001019577159811940
ENSG00000187796	CARD9	TCGA-THYM	1.69643533403649E-54	9.27571822638469E-49
ENSG00000087903	RFX2	TCGA-COAD	1.82217105389802E-08	0.009963212223371970
ENSG00000168256	NKIRAS2	TCGA-THYM	1.3768311342581E-20	7.52819597096239E-15
ENSG00000241399	CD302	TCGA-THYM	9.67412541656087E-78	5.2895892728909E-72
ENSG00000088930	XRN2	TCGA-THYM	1.54865962969844E-100	8.46771466347624E-95
ENSG00000198785	GRIN3A	TCGA-THYM	5.24634921784451E-66	2.86858308628537E-60
ENSG00000145868	FBXO38	TCGA-THYM	1.15296644808239E-72	6.30415535583146E-67
ENSG00000131061	ZNF341	TCGA-THYM	1.95711333126969E-26	1.07010455593165E-20
ENSG00000168237	GLYCTK	TCGA-THYM	1.7199300790597E-17	9.40418208838024E-12
ENSG00000143891	GALM	TCGA-THYM	1.61026941898035E-48	8.80458282101817E-43
ENSG00000146192	FGD2	TCGA-THYM	8.12077861822973E-78	4.4402549705398E-72
ENSG00000113946	CLDN16	TCGA-THYM	3.36686287319745E-55	1.84092318121828E-49
ENSG00000014138	POLA2	TCGA-THYM	2.16991417516269E-62	1.18645916295293E-56
ENSG00000173093	CCDC63	TCGA-THYM	4.62304557460996E-76	2.52777499014851E-70
ENSG00000125787	GNRH2	TCGA-THYM	2.8899806536057E-53	1.58017495183656E-47
ENSG00000179055	OR13D1	TCGA-THYM	6.21392155836779E-75	3.39762938791967E-69
ENSG00000134262	AP4B1	TCGA-THYM	4.22547014866867E-31	2.31038989147861E-25
ENSG00000100889	PCK2	TCGA-THYM	3.59967535253659E-74	1.9682196902339E-68
ENSG00000087274	ADD1	TCGA-THYM	3.62158997032892E-64	1.98020209920653E-58
ENSG00000144118	RALB	TCGA-THYM	1.68809070648914E-22	9.23009172222014E-17
ENSG00000102970	CCL17	TCGA-THYM	1.59357162364277E-24	8.71328311660522E-19
ENSG00000134757	DSG3	TCGA-THYM	5.72911056313937E-42	3.13254588638165E-36
ENSG00000167604	NFKBID	TCGA-THYM	1.9954763477696E-75	1.09108057100442E-69
ENSG00000188229	TUBB4B	TCGA-THYM	4.50065175687219E-32	2.46085286566731E-26
ENSG00000135205	CCDC146	TCGA-THYM	5.59451270014358E-70	3.05895087064641E-64
ENSG00000177606	JUN	TCGA-THYM	3.03271599368976E-17	1.65821935288171E-11
ENSG00000138964	PARVG	TCGA-THYM	6.89074243578971E-35	3.76769947681379E-29
ENSG00000205323	SARNP	TCGA-THYM	9.31501296068335E-15	5.09323484160356E-09
ENSG00000141391	SLMO1	TCGA-THYM	1.88691269413052E-127	1.0317204621586E-121
ENSG00000183496	MEX3B	TCGA-THYM	2.64651203494078E-51	1.44705191092882E-45
ENSG00000188641	DPYD	TCGA-THYM	2.54010905171588E-73	1.38887320697005E-67
ENSG00000173171	MTX1	TCGA-THYM	5.31306573176395E-70	2.90506214161669E-64
ENSG00000155508	CNOT8	TCGA-THYM	6.45053150515389E-65	3.52700226479353E-59
ENSG00000160208	RRP1B	TCGA-THYM	4.29292701202755E-41	2.34727375285539E-35
ENSG00000112246	SIM1	TCGA-THYM	7.77931221918013E-94	4.25354899726665E-88
ENSG00000123143	PKN1	TCGA-THYM	3.64612210945013E-77	1.99361570863882E-71
ENSG00000072609	CHFR	TCGA-THYM	1.1414208856927E-17	6.24102687616398E-12
ENSG00000029534	ANK1	TCGA-THYM	5.92052830280979E-41	3.23720870382543E-35
ENSG00000131171	SH3BGRL	TCGA-THYM	2.97284791392059E-128	1.62548486382976E-122
ENSG00000075413	MARK3	TCGA-THYM	1.33968034487338E-60	7.32506399928834E-55
ENSG00000164318	EGFLAM	TCGA-THYM	7.81781395172887E-65	4.27460085908445E-59
ENSG00000128699	ORMDL1	TCGA-THYM	1.84488133985005E-78	1.00873868435919E-72
ENSG00000126861	OMG	TCGA-THYM	1.57968905811609E-70	8.63737644129544E-65
ENSG00000165689	SDCCAG3	TCGA-THYM	5.6380873226316E-76	3.08277647200654E-70
ENSG00000163576	EFHB	TCGA-THYM	2.4078538888773E-51	1.31655912579866E-45
ENSG00000157224	CLDN12	TCGA-THYM	5.40399603827774E-77	2.95478074182139E-71
ENSG00000188487	INSC	TCGA-THYM	2.81594819931392E-73	1.53969570857627E-67
ENSG00000115840	SLC25A12	TCGA-THYM	1.51059353081805E-57	8.25957799000103E-52
ENSG00000128322	IGLL1	TCGA-THYM	3.69528617758462E-26	2.02049749032119E-20
ENSG00000134294	SLC38A2	TCGA-THYM	1.48885678801572E-44	8.1407264798087E-39
ENSG00000121361	KCNJ8	TCGA-THYM	2.53930294917727E-73	1.3884324486423E-67
ENSG00000229809	ZNF688	TCGA-THYM	3.7436879962882E-15	2.04696249154647E-09
ENSG00000180817	PPA1	TCGA-THYM	4.5192087831586E-12	2.47099942082911E-06
ENSG00000106367	AP1S1	TCGA-THYM	5.84562824012193E-64	3.19625507224915E-58
ENSG00000074211	PPP2R2C	TCGA-KIRP	3.18471060367521E-08	0.017413265097457200
ENSG00000133706	LARS	TCGA-THYM	1.59543446427053E-42	8.72346870070449E-37
ENSG00000121481	RNF2	TCGA-THYM	2.4587904343152E-12	1.34441005730356E-06
ENSG00000168876	ANKRD49	TCGA-THYM	2.46243597870071E-73	1.34640335712604E-67
ENSG00000242252	BGLAP	TCGA-THYM	1.80844816157096E-50	9.88817860439283E-45
ENSG00000262246	CORO7	TCGA-THYM	1.01166287676165E-48	5.53153992767104E-43
ENSG00000204713	TRIM27	TCGA-THYM	1.79147524941111E-59	9.79537462447256E-54
ENSG00000151846	PABPC3	TCGA-THYM	1.3699520856976E-53	7.49058291561474E-48
ENSG00000100335	MIEF1	TCGA-THYM	2.78211199517422E-67	1.52119485038537E-61
ENSG00000167670	CHAF1A	TCGA-THYM	6.9409199535689E-08	0.03795135389452550
ENSG00000137713	PPP2R1B	TCGA-THYM	8.86176601393003E-52	4.84540983579862E-46
ENSG00000180901	KCTD2	TCGA-THYM	4.04134511275952E-47	2.20971455671931E-41
ENSG00000105675	ATP4A	TCGA-THYM	1.85565371989299E-50	1.01462877400193E-44
ENSG00000114978	MOB1A	TCGA-THYM	6.09895316917243E-56	3.33476731698059E-50
ENSG00000126749	EMG1	TCGA-THYM	3.6887692802843E-52	2.01693420076601E-46
ENSG00000115091	ACTR3	TCGA-THYM	1.88183734819107E-21	1.02894537973187E-15
ENSG00000089101	C20orf26	TCGA-THYM	2.22879313095567E-65	1.21865282176455E-59
ENSG00000183864	TOB2	TCGA-THYM	1.15204944231706E-67	6.29914137921796E-62
ENSG00000186092	OR4F5	TCGA-CESC	4.5499580445489E-08	0.024878124097243100
ENSG00000169894	MUC3A	TCGA-THYM	9.23195121571555E-111	5.0478185898753E-105
ENSG00000074935	TUBE1	TCGA-THYM	2.10571997756925E-26	1.15135925217538E-20
ENSG00000171345	KRT19	TCGA-THYM	2.81343780114663E-19	1.53832308059755E-13
ENSG00000164715	LMTK2	TCGA-THYM	1.49310748453707E-23	8.16396831072728E-18
ENSG00000182199	SHMT2	TCGA-THYM	1.95844960308639E-62	1.07083519862677E-56
ENSG00000112232	KHDRBS2	TCGA-KIRP	2.63792998188336E-09	0.0014423594417042400
ENSG00000149716	ORAOV1	TCGA-THYM	3.10025998825165E-79	1.69515085559627E-73
ENSG00000112624	GLTSCR1L	TCGA-THYM	6.90516834357419E-33	3.77558723139446E-27
ENSG00000026751	SLAMF7	TCGA-THYM	1.89021276811241E-13	1.0335248667102E-07
ENSG00000162006	MSLNL	TCGA-THYM	2.78360954780928E-34	1.52201367772252E-28
ENSG00000092098	RNF31	TCGA-THYM	2.29637854661852E-66	1.25560697258443E-60
ENSG00000146676	PURB	TCGA-THYM	5.19758691902838E-51	2.84192098282558E-45
ENSG00000215269	GAGE12G	TCGA-THYM	7.11353873454713E-29	3.88951936865948E-23
ENSG00000244486	SCARF2	TCGA-THYM	1.08872471751411E-44	5.95289634868213E-39
ENSG00000072042	RDH11	TCGA-THYM	5.72532244150104E-20	3.13047462859662E-14
ENSG00000124575	HIST1H1D	TCGA-THYM	1.51551512764359E-60	8.28648814947579E-55
ENSG00000178401	DNAJC22	TCGA-THYM	1.14356146258046E-66	6.25273105825358E-61
ENSG00000204628	GNB2L1	TCGA-THYM	2.36167338378276E-62	1.29130868776459E-56
ENSG00000168952	STXBP6	TCGA-THYM	4.29532849711215E-129	2.34858682966549E-123
ENSG00000119650	IFT43	TCGA-THYM	5.55201854007977E-19	3.0357160412892E-13
ENSG00000074695	LMAN1	TCGA-THYM	1.54984755065333E-73	8.47420994203579E-68
ENSG00000103024	NME3	TCGA-THYM	2.59816162999139E-63	1.4206150215618E-57
ENSG00000136010	ALDH1L2	TCGA-THYM	4.17425167909086E-66	2.28238481033826E-60
ENSG00000138771	SHROOM3	TCGA-THYM	2.12711583239596E-80	1.16305801348996E-74
ENSG00000168137	SETD5	TCGA-THYM	1.62265781904227E-28	8.87231974322473E-23
ENSG00000091640	SPAG7	TCGA-THYM	3.81233043539495E-61	2.08449459847394E-55
ENSG00000225190	PLEKHM1	TCGA-THYM	7.73146556549817E-09	0.0042273875475063900
ENSG00000161179	YDJC	TCGA-THYM	9.65555826846713E-101	5.27943718335765E-95
ENSG00000197386	HTT	TCGA-THYM	5.62953003112362E-36	3.07809754182768E-30
ENSG00000129968	ABHD17A	TCGA-THYM	3.83719775842622E-70	2.09809147875901E-64
ENSG00000151233	GXYLT1	TCGA-THYM	2.36973483458761E-17	1.29571650365131E-11
ENSG00000256060	TRAPPC2P1	TCGA-THYM	5.21391839386948E-79	2.85085065764477E-73
ENSG00000105711	SCN1B	TCGA-THYM	8.05962457188242E-50	4.40681734454015E-44
ENSG00000131188	PRR7	TCGA-THYM	6.47816483501724E-76	3.54211153399622E-70
ENSG00000094755	GABRP	TCGA-THYM	9.84983281158715E-13	5.38566203522119E-07
ENSG00000115138	POMC	TCGA-THYM	2.79742783959175E-72	1.52956920184846E-66
ENSG00000162733	DDR2	TCGA-THYM	1.84949342025706E-51	1.01126046384789E-45
ENSG00000138629	UBL7	TCGA-THYM	7.66933453709325E-59	4.19341573018824E-53
ENSG00000126391	FRMD8	TCGA-THYM	9.28961805721662E-72	5.07934949247073E-66
ENSG00000239732	TLR9	TCGA-THYM	1.17854507509879E-33	6.44401340527294E-28
ENSG00000134398	ERN 2.00	TCGA-THYM	7.57381675803195E-68	4.14118880550643E-62
ENSG00000113838	TBCCD1	TCGA-THYM	7.98022999317859E-85	4.36340621498021E-79
ENSG00000158825	CDA	TCGA-THYM	2.22668666675169E-55	1.21750105558649E-49
ENSG00000087111	PIGS	TCGA-THYM	5.51167298832792E-48	3.01365602153897E-42
ENSG00000179564	LSMEM2	TCGA-THYM	2.45975438805001E-12	1.34493712503482E-06
ENSG00000061794	MRPS35	TCGA-THYM	4.23162874862644E-89	2.31375727228772E-83
ENSG00000092067	CEBPE	TCGA-THYM	1.08799975692222E-37	5.94893243090658E-32
ENSG00000158161	EYA3	TCGA-THYM	2.07668253701048E-61	1.13548224753898E-55
ENSG00000172410	INSL5	TCGA-THYM	3.93203232183015E-48	2.14994483683332E-42
ENSG00000133083	DCLK1	TCGA-THYM	6.18261932650288E-70	3.38051404748727E-64
ENSG00000173011	TADA2B	TCGA-THYM	2.99710600388151E-37	1.63874862948432E-31
ENSG00000156298	TSPAN7	TCGA-THYM	3.53157302993191E-62	1.93098290658708E-56
ENSG00000133816	MICAL2	TCGA-THYM	1.72351415837323E-67	9.42377900972839E-62
ENSG00000183778	B3GALT5	TCGA-THYM	3.99427041739094E-133	2.18397519600977E-127
ENSG00000149021	SCGB1A1	TCGA-THYM	8.2550620459133E-40	4.51367806027834E-34
ENSG00000101441	CST4	TCGA-HNSC	2.08747187938896E-08	0.01141381611796660
ENSG00000171469	ZNF561	TCGA-THYM	1.20920225584294E-80	6.61163981843034E-75
ENSG00000188153	COL4A5	TCGA-THYM	7.35531166829999E-19	4.02171524805807E-13
ENSG00000014824	SLC30A9	TCGA-THYM	1.75232295328997E-22	9.58129887431032E-17
ENSG00000116584	ARHGEF2	TCGA-THYM	1.70318230863574E-20	9.31260913168924E-15
ENSG00000163412	EIF4E3	TCGA-THYM	3.07335326034661E-13	1.68043887563254E-07
ENSG00000136718	IMP4	TCGA-THYM	1.05678546614834E-64	5.7782598682419E-59
ENSG00000135090	TAOK3	TCGA-THYM	7.890413909692E-77	4.31429684629966E-71
ENSG00000188582	PAQR9	TCGA-THYM	1.74920422613201E-28	9.56424639151782E-23
ENSG00000182782	HCAR2	TCGA-THYM	6.07127480043069E-72	3.31963342155509E-66
ENSG00000065923	SLC9A7	TCGA-THYM	5.9629794138589E-58	3.26041999497153E-52
ENSG00000109680	TBC1D19	TCGA-THYM	3.40935258923952E-73	1.86415558068662E-67
ENSG00000084072	PPIE	TCGA-THYM	2.07503632998591E-76	1.1345821394007E-70
ENSG00000197702	PARVA	TCGA-THYM	8.75343566062349E-16	4.78617729020873E-10
ENSG00000100109	TFIP11	TCGA-THYM	4.45070873348176E-49	2.43354516916696E-43
ENSG00000237957	CT47A5	TCGA-THYM	9.68950174165094E-85	5.29799669379468E-79
ENSG00000119969	HELLS	TCGA-THYM	2.107342283539E-59	1.1522462917666E-53
ENSG00000110628	SLC22A18	TCGA-THYM	3.70153614751E-69	2.02391483012708E-63
ENSG00000128185	DGCR6L	TCGA-THYM	9.70455049046389E-13	5.30622500352437E-07
ENSG00000167972	ABCA3	TCGA-THYM	1.77032914981647E-43	9.67975261549198E-38
ENSG00000158246	FAM46B	TCGA-THYM	3.35053642735174E-80	1.8319962561381E-74
ENSG00000108506	INTS2	TCGA-THYM	4.69547038818456E-126	2.56737521244039E-120
ENSG00000147586	MRPS28	TCGA-CESC	1.73246572898328E-08	0.009472724138962890
ENSG00000147586	MRPS28	TCGA-THYM	5.31296901279426E-65	2.9050092579086E-59
ENSG00000174697	LEP	TCGA-THYM	1.31233604091486E-80	7.17555163443304E-75
ENSG00000140067	FAM181A	TCGA-THYM	1.50842698850379E-61	8.24773183493136E-56
ENSG00000105996	HOXA2	TCGA-THYM	3.45310922679377E-09	0.0018880807036986200
ENSG00000177374	HIC1	TCGA-THYM	1.15874067913721E-72	6.33572752316608E-67
ENSG00000117385	LEPRE1	TCGA-THYM	3.39000800341349E-26	1.85357840608242E-20
ENSG00000013288	MAN2B2	TCGA-THYM	3.74188723580849E-24	2.04597787713366E-18
ENSG00000145734	BDP1	TCGA-THYM	2.16827167221337E-36	1.18556108011781E-30
ENSG00000167654	ATCAY	TCGA-THYM	1.1300437969412E-21	6.1788195716012E-16
ENSG00000119522	DENND1A	TCGA-THYM	1.84418741132028E-69	1.00835926019947E-63
ENSG00000043355	ZIC2	TCGA-THYM	4.18076712708192E-63	2.28594730744447E-57
ENSG00000133111	RFXAP	TCGA-THYM	5.65707188235133E-09	0.0030931567926164200
ENSG00000085871	MGST2	TCGA-THYM	2.25174212230094E-75	1.23120080240534E-69
ENSG00000269964	MEI4	TCGA-THYM	3.06551711198761E-80	1.67615424994125E-74
ENSG00000119318	RAD23B	TCGA-THYM	2.50466123405444E-75	1.36949115557258E-69
ENSG00000152404	CWF19L2	TCGA-THYM	7.8032026517719E-43	4.26661173632788E-37
ENSG00000110427	KIAA1549L	TCGA-THYM	1.21727507909353E-104	6.65578015921523E-99
ENSG00000114124	GRK7	TCGA-THYM	4.55087095586939E-77	2.4883115686374E-71
ENSG00000109133	TMEM33	TCGA-THYM	3.2363220495841E-10	1.76954646130545E-04
ENSG00000156873	PHKG2	TCGA-THYM	4.04757801367037E-58	2.21312256358064E-52
ENSG00000144401	METTL21A	TCGA-THYM	4.31626491751592E-36	2.3600343828046E-30
ENSG00000112818	MEP1A	TCGA-THYM	4.64821562367564E-133	2.54153739406649E-127
ENSG00000214367	HAUS3	TCGA-THYM	8.10587610849531E-46	4.43210662097474E-40
ENSG00000078295	ADCY2	TCGA-THYM	2.25785329266234E-105	1.23454224980204E-99
ENSG00000203837	PNLIPRP3	TCGA-THYM	2.26220922025171E-29	1.23692397082157E-23
ENSG00000184601	C14orf180	TCGA-THYM	2.25885343054943E-71	1.23508910219552E-65
ENSG00000132329	RAMP1	TCGA-THYM	3.8953439370936E-67	2.12988447189223E-61
ENSG00000076944	STXBP2	TCGA-THYM	1.1002334262453E-76	6.01582332102126E-71
ENSG00000188508	KRTDAP	TCGA-THYM	1.49990403670009E-57	8.20113029474767E-52
ENSG00000157657	ZNF618	TCGA-THYM	1.16591113068378E-119	6.37493390301883E-114
ENSG00000113048	MRPS27	TCGA-THYM	1.19891126118449E-107	6.5553710265667E-102
ENSG00000106799	TGFBR1	TCGA-THYM	8.29830098693702E-78	4.53732011873446E-72
ENSG00000163389	POGLUT1	TCGA-THYM	1.00622970930196E-23	5.50183261763E-18
ENSG00000102221	JADE3	TCGA-THYM	1.25503444306602E-37	6.8622396767631E-32
ENSG00000162378	ZYG11B	TCGA-THYM	1.07652506503567E-43	5.8861914548501E-38
ENSG00000162526	TSSK3	TCGA-THYM	4.10057710450209E-54	2.24210124746834E-48
ENSG00000104918	RETN	TCGA-THYM	1.20367631376255E-112	6.58142523810146E-107
ENSG00000035687	ADSS	TCGA-COAD	5.46423093757696E-08	0.029877157993555200
