GeneID	Gene name	TCGA cohort	p-value	p-value (corrected)
ENSG00000174982	OR4S2	TCGA-THYM	1.66220254836018E-15	9.08854122784733E-10
ENSG00000164114	MAP9	TCGA-THYM	6.31680773898052E-14	3.45388518509655E-08
ENSG00000146409	SLC18B1	TCGA-THYM	1.16997707599749E-17	6.39716555682679E-12
ENSG00000047662	FAM184B	TCGA-THYM	2.34991846161061E-34	1.28488136668407E-28
ENSG00000048028	USP28	TCGA-THYM	1.50825495296489E-76	8.24679118417286E-71
ENSG00000135269	TES	TCGA-THYM	9.59142455522449E-72	5.24437034403198E-66
ENSG00000204084	INPP5B	TCGA-LIHC	1.947648483864E-10	1.06492939506171E-04
ENSG00000127564	PKMYT1	TCGA-THYM	1.24678706655872E-42	6.81714491891775E-37
ENSG00000230031	POTEB2	TCGA-THYM	8.94352967942276E-33	4.89011632752574E-27
ENSG00000172428	MYEOV2	TCGA-THYM	9.24983703211634E-35	5.05759814290948E-29
ENSG00000162738	VANGL2	TCGA-THYM	1.11269623901912E-68	6.0839671148216E-63
ENSG00000175806	MSRA	TCGA-THYM	3.38677529775413E-55	1.85181083698011E-49
ENSG00000214530	STARD10	TCGA-THYM	1.43327369475629E-80	7.83681090997763E-75
ENSG00000147138	GPR174	TCGA-THYM	2.45526146439071E-80	1.34248049771516E-74
ENSG00000196569	LAMA2	TCGA-THYM	1.66723124546156E-59	9.11603698699737E-54
ENSG00000213918	DNASE1	TCGA-THYM	9.57982072586082E-78	5.238025637024E-72
ENSG00000165182	CXorf58	TCGA-THYM	6.00111699509822E-91	3.28127274722882E-85
ENSG00000168505	GBX2	TCGA-THYM	2.12484981702437E-130	1.16181900840314E-124
ENSG00000203757	OR6K3	TCGA-THYM	1.76569961053744E-65	9.65443935950829E-60
ENSG00000180483	DEFB119	TCGA-THYM	1.76442803948511E-125	9.64748670145548E-120
ENSG00000175894	TSPEAR	TCGA-THYM	2.44162739298657E-19	1.33502570105502E-13
ENSG00000162896	PIGR	TCGA-THYM	5.51482684124185E-15	3.0153804757737E-09
ENSG00000198099	ADH4	TCGA-THYM	1.22622086671988E-60	6.70469366842495E-55
ENSG00000092068	SLC7A8	TCGA-THYM	1.03165244699426E-54	5.64083830010182E-49
ENSG00000169105	CHST14	TCGA-THYM	8.53729140612457E-61	4.66799458316657E-55
ENSG00000140015	KCNH5	TCGA-THYM	2.67875994953334E-13	1.46468432892599E-07
ENSG00000158458	NRG2	TCGA-THYM	2.30477978067693E-78	1.26020057413919E-72
ENSG00000022355	GABRA1	TCGA-THYM	2.22127614279083E-77	1.21454270552674E-71
ENSG00000129038	LOXL1	TCGA-THYM	4.10202874087879E-72	2.24289496885148E-66
ENSG00000113356	POLR3G	TCGA-THYM	6.33012706002423E-35	3.46116788349887E-29
ENSG00000204385	SLC44A4	TCGA-THYM	1.2392263495592E-26	6.7758046573293E-21
ENSG00000170166	HOXD4	TCGA-THYM	6.32964421297638E-24	3.46090387383859E-18
ENSG00000169509	CRCT1	TCGA-THYM	4.00462679870793E-70	2.18963782711712E-64
ENSG00000198755	RPL10A	TCGA-THYM	4.90668826541651E-26	2.68286428969964E-20
ENSG00000156096	UGT2B4	TCGA-THYM	3.65361626755975E-71	1.99771334192752E-65
ENSG00000185504	C17orf70	TCGA-THYM	1.20274559514165E-09	6.57633628274767E-04
ENSG00000197956	S100A6	TCGA-THYM	4.56560673242451E-37	2.49636875233488E-31
ENSG00000111707	SUDS3	TCGA-THYM	7.44297774701974E-38	4.06964904358221E-32
ENSG00000120690	ELF1	TCGA-THYM	1.70167750567452E-59	9.30438121520196E-54
ENSG00000160055	TMEM234	TCGA-THYM	4.38625569697107E-24	2.39830373122275E-18
ENSG00000258986	TMEM179	TCGA-THYM	5.94726511971322E-77	3.25182778036143E-71
ENSG00000164081	TEX264	TCGA-THYM	1.25496383773384E-27	6.86185362304594E-22
ENSG00000184887	BTBD6	TCGA-THYM	1.16743269300766E-16	6.3832534558465E-11
ENSG00000204969	PCDHA2	TCGA-THYM	5.18616856034443E-74	2.83567768691945E-68
ENSG00000134545	KLRC1	TCGA-THYM	7.31113399439555E-19	3.99755991205362E-13
ENSG00000121152	NCAPH	TCGA-THYM	7.03688034915423E-69	3.8476043266695E-63
ENSG00000137731	FXYD2	TCGA-THYM	1.48965646363755E-36	8.14509892218349E-31
ENSG00000123545	NDUFAF4	TCGA-THYM	5.61161910968134E-98	3.06830426193424E-92
ENSG00000123545	NDUFAF4	TCGA-KIRP	3.83094329088041E-08	0.020946716797577200
ENSG00000126251	GPR42	TCGA-THYM	3.11912525181856E-126	1.7054659478136E-120
ENSG00000169429	IL8	TCGA-THYM	3.15797951955543E-72	1.72671056776396E-66
ENSG00000145536	ADAMTS16	TCGA-THYM	3.2563602269003E-22	1.78050287578386E-16
ENSG00000182670	TTC3	TCGA-THYM	1.97968764324602E-16	1.08244767051113E-10
ENSG00000175155	YPEL2	TCGA-THYM	5.12575980682224E-74	2.80264756989484E-68
ENSG00000164122	ASB5	TCGA-THYM	1.0037741935478E-135	5.48840642225486E-130
ENSG00000117525	F3	TCGA-THYM	2.57144288325947E-29	1.40600582537996E-23
ENSG00000188313	PLSCR1	TCGA-THYM	1.92208518717561E-79	1.05095197238832E-73
ENSG00000069849	ATP1B3	TCGA-THYM	4.16874522464181E-78	2.27937400769398E-72
ENSG00000186280	KDM4D	TCGA-THYM	1.15925918695928E-37	6.33856260468032E-32
ENSG00000100055	CYTH4	TCGA-THYM	3.776689879134E-68	2.06500716204325E-62
ENSG00000165259	HDX	TCGA-THYM	1.47911606007822E-53	8.08746641981391E-48
ENSG00000165643	SOHLH1	TCGA-THYM	3.00437955161192E-12	1.64272563809171E-06
ENSG00000137825	ITPKA	TCGA-THYM	3.53223749656493E-29	1.93134622165928E-23
ENSG00000214595	EML6	TCGA-THYM	4.27951615708487E-11	2.33994100582239E-05
ENSG00000183638	RP1L1	TCGA-THYM	2.11554712425943E-46	1.1567325099612E-40
ENSG00000124134	KCNS1	TCGA-THYM	2.48324748959796E-69	1.3577826126199E-63
ENSG00000164649	CDCA7L	TCGA-ESCA	2.0117006080447E-08	0.010999516233648500
